Wall time,Step,Value
1717848788.9708955,10,15.901599884033203
1717848802.2369103,20,15.15719985961914
1717848818.2682714,30,14.85830020904541
1717848836.017412,40,15.707799911499023
1717848853.7718976,50,14.027799606323242
1717848869.7938874,60,13.673700332641602
1717848885.554518,70,13.714699745178223
1717848899.6862319,80,13.296199798583984
1717848915.04887,90,13.617799758911133
1717848929.9911325,100,11.920900344848633
1717848944.5851934,110,12.407899856567383
1717848962.695339,120,11.542400360107422
1717848977.7012222,130,10.936800003051758
1717848993.1995642,140,11.013400077819824
1717849008.3302646,150,10.218999862670898
1717849022.8018343,160,10.142900466918945
1717849037.2933679,170,9.540399551391602
1717849051.969614,180,9.218799591064453
1717849068.1912203,190,9.636500358581543
1717849084.956703,200,9.208000183105469
1717849101.5717394,210,9.35159969329834
1717849116.380277,220,8.47700023651123
1717849131.2184207,230,8.081000328063965
1717849145.9242547,240,8.731900215148926
1717849161.5799022,250,8.93019962310791
1717849176.9784064,260,7.778600215911865
1717849191.864333,270,7.950200080871582
1717849206.969337,280,7.493899822235107
1717849222.191204,290,7.849400043487549
1717849236.2660468,300,7.792600154876709
1717849250.3624244,310,7.2870001792907715
1717849268.614839,320,7.517300128936768
1717849284.7967384,330,7.16949987411499
1717849300.262655,340,6.7617998123168945
1717849315.4836614,350,7.1554999351501465
1717849332.1951356,360,6.599599838256836
1717849347.9245617,370,6.505899906158447
1717849362.763577,380,6.837699890136719
1717849380.2668426,390,6.526400089263916
1717849395.4254246,400,6.111100196838379
1717849410.014269,410,6.249300003051758
1717849424.7616737,420,5.85230016708374
1717849439.4232888,430,6.129700183868408
1717849453.951656,440,5.4191999435424805
1717849469.23958,450,5.951200008392334
1717849484.2664225,460,5.581299781799316
1717849501.5125456,470,5.746699810028076
1717849515.57241,480,5.679999828338623
1717849530.256192,490,5.22599983215332
1717849544.3822107,500,5.729400157928467
1717849572.22571,510,5.091700077056885
1717849587.2872696,520,5.24399995803833
1717849601.823511,530,5.145699977874756
1717849616.6683044,540,4.903600215911865
1717849631.5846844,550,4.723100185394287
1717849646.024099,560,4.707600116729736
1717849660.111776,570,4.72790002822876
1717849674.2422266,580,4.487100124359131
1717849688.872274,590,4.540800094604492
1717849703.5648603,600,4.648099899291992
1717849718.8481915,610,4.150000095367432
1717849733.2920275,620,4.267399787902832
1717849748.22777,630,3.614300012588501
1717849763.1683736,640,4.122000217437744
1717849777.8138082,650,3.736999988555908
1717849792.4725275,660,4.008500099182129
1717849807.3664453,670,3.928499937057495
1717849821.613923,680,3.9447999000549316
1717849835.9588056,690,3.5176000595092773
1717849850.4615695,700,3.6559998989105225
1717849865.7908607,710,3.532900094985962
1717849880.926117,720,3.520699977874756
1717849895.8397703,730,3.759000062942505
1717849910.5361571,740,3.261899948120117
1717849927.8397677,750,3.3577001094818115
1717849945.3789132,760,3.601300001144409
1717849959.3736084,770,3.6289000511169434
1717849974.1722164,780,3.3039000034332275
1717849988.8862848,790,3.242000102996826
1717850005.8788192,800,3.484299898147583
1717850024.3492656,810,3.3821001052856445
1717850040.880102,820,3.066999912261963
1717850054.9626484,830,3.072499990463257
1717850071.4125366,840,3.195199966430664
1717850086.202594,850,3.214200019836426
1717850100.2419245,860,2.819000005722046
1717850114.3766875,870,3.172600030899048
1717850128.4162092,880,3.084399938583374
1717850142.26295,890,3.1340999603271484
1717850156.921556,900,3.2518999576568604
1717850170.9865918,910,2.8958001136779785
1717850185.465906,920,3.043299913406372
1717850200.01121,930,3.210400104522705
1717850214.053817,940,3.071500062942505
1717850228.3712091,950,2.8919999599456787
1717850243.0468638,960,2.9100000858306885
1717850257.2267473,970,2.7762999534606934
1717850271.232186,980,3.3326001167297363
1717850285.2353606,990,2.5710999965667725
1717850299.359262,1000,2.893699884414673
1717850319.2165391,1010,2.8304998874664307
1717850333.5123076,1020,3.01990008354187
1717850348.0343935,1030,2.9560999870300293
1717850362.9842508,1040,2.84879994392395
1717850377.5551965,1050,2.782599925994873
1717850391.6800742,1060,2.7846999168395996
1717850406.1947339,1070,2.5745999813079834
1717850420.6622825,1080,3.120300054550171
1717850434.7953064,1090,2.724900007247925
1717850448.7084405,1100,2.8224000930786133
1717850462.9020925,1110,2.859600067138672
1717850476.9810758,1120,2.835700035095215
1717850491.5010507,1130,2.580699920654297
1717850508.6272063,1140,2.7662999629974365
1717850524.0677483,1150,2.665299892425537
1717850538.5813217,1160,2.8433001041412354
1717850553.7037256,1170,2.5897998809814453
1717850568.1877677,1180,2.761899948120117
1717850582.1215954,1190,2.6298999786376953
1717850596.2356477,1200,2.754300117492676
1717850611.1997585,1210,2.4684998989105225
1717850628.4775436,1220,2.723099946975708
1717850642.5244641,1230,2.438800096511841
1717850660.1624832,1240,2.603600025177002
1717850675.828502,1250,2.5782999992370605
1717850690.9112082,1260,2.5692999362945557
1717850708.9830024,1270,2.7555999755859375
1717850725.1078799,1280,2.4075000286102295
1717850740.428632,1290,2.6224000453948975
1717850757.7732813,1300,2.7876999378204346
1717850774.886689,1310,2.792799949645996
1717850789.4568105,1320,2.3101000785827637
1717850804.158409,1330,2.3366000652313232
1717850818.2969313,1340,2.6796998977661133
1717850833.353636,1350,2.725800037384033
1717850847.668837,1360,2.630500078201294
1717850861.9185529,1370,2.3768999576568604
1717850876.5916507,1380,2.5481998920440674
1717850891.9030201,1390,2.9026999473571777
1717850908.895305,1400,2.358799934387207
1717850923.786289,1410,2.4333999156951904
1717850938.3170938,1420,2.4721999168395996
1717850952.7796702,1430,2.6147000789642334
1717850968.5635958,1440,2.4131999015808105
1717850988.2778866,1450,2.3387999534606934
1717851004.090161,1460,2.477299928665161
1717851019.8100288,1470,2.4158999919891357
1717851033.9713962,1480,2.5007998943328857
1717851048.1599288,1490,2.459199905395508
1717851062.2660809,1500,2.5044000148773193
1717851083.327994,1510,2.390700101852417
