Wall time,Step,Value
1717936030.7784884,10,2.107800006866455
1717936051.8145874,20,2.0006000995635986
1717936071.418972,30,1.7460999488830566
1717936090.6971786,40,1.4997999668121338
1717936110.1722105,50,1.3705999851226807
1717936129.5094657,60,1.2488000392913818
1717936148.9194007,70,1.0299999713897705
1717936168.9948905,80,0.8501999974250793
1717936188.9353864,90,0.8149999976158142
1717936208.703894,100,0.6256999969482422
1717936231.3622437,110,0.5964999794960022
1717936250.39093,120,0.6183000206947327
1717936268.9995127,130,0.483599990606308
1717936287.8518088,140,0.4074999988079071
1717936306.7488527,150,0.25619998574256897
1717936326.3838768,160,0.2971999943256378
1717936345.6693528,170,0.2231999933719635
1717936364.681942,180,0.17919999361038208
1717936383.8690162,190,0.20270000398159027
1717936404.175885,200,0.29319998621940613
1717936427.2536044,210,0.2987000048160553
1717936446.052661,220,0.20960000157356262
1717936467.0272374,230,0.1193000003695488
1717936490.015447,240,0.16210000216960907
1717936511.0530083,250,0.20509999990463257
1717936531.2912366,260,0.12330000102519989
1717936551.537754,270,0.20399999618530273
1717936571.537426,280,0.11559999734163284
1717936592.4606562,290,0.07819999754428864
1717936612.9763193,300,0.04340000078082085
1717936638.2970781,310,0.5501000285148621
1717936658.92533,320,0.014000000432133675
1717936679.3514688,330,0.15150000154972076
1717936699.8353598,340,0.08330000191926956
1717936720.0769403,350,0.14980000257492065
1717936739.3892608,360,0.19539999961853027
1717936758.869725,370,0.02969999983906746
1717936783.9021091,380,0.0640999972820282
1717936804.531385,390,0.020800000056624413
1717936825.865417,400,0.05550000071525574
1717936850.1191974,410,0.02889999933540821
1717936870.5517318,420,0.01720000058412552
1717936891.5600753,430,0.0027000000700354576
1717936912.8456151,440,0.1421000063419342
1717936933.3372846,450,0.0044999998062849045
1717936952.4952414,460,0.06769999861717224
1717936973.281326,470,0.005900000222027302
1717936994.5019503,480,0.03739999979734421
1717937014.9877424,490,0.0026000000070780516
1717937035.5674706,500,0.148499995470047
1717937069.5470338,510,0.016899999231100082
1717937089.8851078,520,0.0024999999441206455
1717937110.3737717,530,0.00279999990016222
1717937130.8276086,540,0.0019000000320374966
1717937151.3492205,550,0.06719999760389328
1717937178.9047382,560,0.007199999876320362
1717937198.866253,570,0.14180000126361847
1717937219.4492311,580,0.14219999313354492
1717937242.3023882,590,0.004699999932199717
1717937264.112706,600,0.1429000049829483
1717937288.5174525,610,0.003599999938160181
1717937308.4181705,620,0.036400001496076584
1717937328.4440079,630,0.002199999988079071
1717937348.3080091,640,0.11599999666213989
1717937369.3458624,650,0.003800000064074993
1717937389.4871035,660,0.007600000128149986
1717937409.4691367,670,0.0017999999690800905
1717937429.1645072,680,0.06199999898672104
1717937449.1449497,690,0.002199999988079071
1717937471.1179426,700,0.10779999941587448
1717937496.160851,710,0.05939999967813492
1717937516.3351874,720,0.059700001031160355
1717937536.320855,730,0.0013000000035390258
1717937556.411078,740,0.13410000503063202
1717937576.5096166,750,0.003000000026077032
1717937596.4186378,760,0.0015999999595806003
1717937616.3430185,770,0.07660000026226044
1717937636.0138817,780,0.0013000000035390258
1717937655.7477586,790,0.001500000013038516
1717937675.588577,800,0.0012000000569969416
